Nombre de sistema,Última comunicación,Versión de producto (Agent),Versión de producto (VirusScan Enterprise),Versión de DAT (VirusScan Enterprise),Tipo de SO,Versión de producto (Endpoint Security Threat Prevention),Versión de AMCore Content,Estado habilitado de OAS
L5CG50320S8,10/10/18 23:47:41 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG50320SR,10/10/18 18:04:57 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG50320SW,14/11/18 15:56:54 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG50320T8,31/08/18 17:21:06 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3452.0,
L5CG50320TN,13/11/18 19:27:00 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG50320VH,13/11/18 16:49:06 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG50320YK,17/08/18 23:59:37 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3429.0,
L5CG50320YQ,14/11/18 0:26:37 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
L5CG50320Z0,5/11/18 15:44:32 CET,5.0.6.220,,,Windows 7,,,
L5CG50320ZV,3/09/18 21:43:26 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,0.5,
L5CG503210C,20/09/18 18:52:24 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3472.0,
L5CG503210K,14/11/18 6:15:11 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3525.0,
L5CG503210P,14/11/18 15:29:14 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5032115,10/10/18 1:05:48 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5032119,9/10/18 23:15:39 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG5032127,14/11/18 15:50:56 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG503212G,18/09/18 17:24:36 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3470.0,
L5CG503214H,13/11/18 23:38:40 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5032157,14/11/18 15:40:02 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG503215J,17/09/18 17:34:40 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG503215R,14/11/18 15:49:51 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG503216W,14/11/18 15:22:13 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5032170,14/11/18 1:16:07 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5032176,14/11/18 15:42:19 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG503217Z,14/11/18 15:55:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5032185,1/11/18 17:24:15 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
L5CG5032188,14/11/18 15:57:19 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5032194,25/10/18 14:27:04 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3507.0,
L5CG503219C,14/11/18 15:50:41 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG503219M,11/10/18 0:52:51 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG50321B4,14/11/18 15:18:23 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
L5CG50321C9,14/11/18 15:46:58 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG50321CQ,31/10/18 16:46:05 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3513.0,
L5CG50321CV,14/11/18 15:36:23 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50321D0,11/10/18 0:26:43 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG50321DG,14/11/18 15:46:06 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG50321DJ,10/10/18 1:43:52 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG50321DM,14/11/18 15:53:50 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG50321DX,3/11/18 18:39:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3516.0,
L5CG50321F0,14/11/18 15:14:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG50321FJ,12/10/18 17:56:22 CEST,5.0.6.220,,,Windows 10,,,
L5CG5032283,1/11/18 19:38:55 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3513.0,
L5CG5032298,14/11/18 15:11:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG50322B0,14/11/18 0:30:37 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG51520Z0,14/11/18 0:05:58 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG51520ZQ,14/11/18 15:30:05 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG51520ZW,14/11/18 15:40:16 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5152110,12/11/18 19:46:55 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3525.0,
L5CG515211T,13/11/18 13:58:56 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3523.0,
L5CG515211Y,14/11/18 13:54:03 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152123,15/10/18 10:46:43 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3497.0,
L5CG5152127,11/10/18 18:25:03 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG5152129,14/11/18 15:50:55 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5152B76,12/11/18 18:01:45 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3525.0,
